regdno,name
18B01A1201,1218
18B01A1202,1218
18B01A1203,1218
18B01A1204,1218
18B01A1205,1218
18B01A1206,1218
18B01A1207,1218
18B01A1208,1218
18B01A1209,1218
18B01A1210,1218
18B01A1211,1218
18B01A1212,1218
18B01A1213,1218
18B01A1214,1218
18B01A1215,1218
18B01A1216,1218
18B01A1217,1218
18B01A1218,1218
18B01A1219,1218
18B01A1220,1218
18B01A1221,1218
18B01A1222,1218
18B01A1223,1218
18B01A1224,1218
18B01A1225,1218
18B01A1226,1218
18B01A1227,1218
18B01A1228,1218
18B01A1229,1218
18B01A1230,1218
18B01A1231,1218
18B01A1232,1218
18B01A1233,1218
18B01A1234,1218
18B01A1235,1218
18B01A1236,1218
18B01A1237,1218
18B01A1238,1218
18B01A1239,1218
18B01A1240,1218
18B01A1241,1218
18B01A1242,1218
18B01A1243,1218
18B01A1244,1218
18B01A1245,1218
18B01A1246,1218
18B01A1247,1218
18B01A1248,1218
18B01A1249,1218
18B01A1250,1218
18B01A1251,1218
18B01A1252,1218
18B01A1253,1218
18B01A1254,1218
18B01A1255,1218
18B01A1256,1218
18B01A1257,1218
18B01A1258,1218
18B01A1259,1218
18B01A1260,1218
18B01A1261,1218
18B01A1262,1218
18B01A1263,1218
18B01A1264,1218
18B01A1265,1218
18B01A1266,1218
18B01A1267,1218
18B01A1268,1218
18B01A1269,1218
18B01A1270,1218
18B01A1271,1218
18B01A1272,1218
18B01A1273,1218
18B01A1274,1218
18B01A1275,1218
18B01A1276,1218
18B01A1277,1218
18B01A1278,1218
18B01A1279,1218
18B01A1280,1218
18B01A1281,1218
18B01A1282,1218
18B01A1283,1218
18B01A1284,1218
18B01A1285,1218
18B01A1286,1218
18B01A1287,1218
18B01A1288,1218
18B01A1289,1218
18B01A1290,1218
18B01A1291,1218
18B01A1292,1218
18B01A1293,1218
18B01A1294,1218
18B01A1295,1218
18B01A1296,1218
18B01A1297,1218
18B01A1298,1218
18B01A1299,1218
18B01A12A0,1218
18B01A12A1,1218
18B01A12A2,1218
18B01A12A3,1218
18B01A12A4,1218
18B01A12A5,1218
18B01A12A6,1218
18B01A12A7,1218
18B01A12A8,1218
18B01A12A9,1218
18B01A12B0,1218
18B01A12B1,1218
18B01A12B2,1218
18B01A12B3,1218
18B01A12B4,1218
18B01A12B5,1218
18B01A12B6,1218
19B01A1201,1218
